6.4	2356.4	40.6	6.7	4125.3	41.4	11.4	1354.6	40.9	10.5	1754.0	40.4	9.6	1568.3	41.7	10.7	806.0	40.7
6.0	2384.7	40.9	6.3	4185.1	41.1	10.4	1362.1	40.7	10.2	1776.7	40.8	9.2	1578.3	41.6	10.6	812.4	40.4
5.6	2412.3	41.3	6.3	4185.8	41.0	10.0	1379.6	41.1	9.6	1800.3	41.1	9.1	1594.4	42.0	10.3	818.8	40.6
5.5	2432.0	40.9	6.2	4196.7	40.8	9.3	1385.7	40.8	8.8	1814.7	40.6	9.2	1611.4	41.8	10.3	823.5	40.3
6.5	2461.4	41.2	6.8	4208.6	41.5	10.5	1402.9	41.1	9.5	1826.7	41.7	10.4	1619.2	41.7	12.1	821.7	40.8
6.6	2460.0	40.7	7.0	4146.8	41.2	10.7	1399.5	40.7	9.5	1812.3	40.4	10.1	1601.8	41.3	11.7	814.3	39.9
6.1	2481.8	41.5	6.8	4156.0	40.8	10.6	1402.0	41.1	9.2	1825.4	40.7	10.0	1607.8	41.1	11.7	813.7	40.6
6.1	2502.2	41.0	6.9	4223.9	40.9	9.9	1398.0	41.0	8.5	1850.7	40.9	9.9	1618.1	41.9	11.0	832.7	40.8
6.1	2498.6	40.7	6.7	4253.5	40.7	9.5	1407.2	40.9	8.3	1846.9	40.8	10.1	1617.5	41.0	10.3	834.1	40.4
5.6	2515.2	40.8	6.2	4312.8	41.1	9.2	1410.3	41.0	8.2	1847.1	40.7	9.9	1621.1	42.0	9.9	834.8	40.8
5.7	2534.1	41.8	6.0	4364.2	41.7	9.2	1404.7	41.4	8.0	1847.1	41.7	10.4	1618.8	41.7	9.8	836.3	41.0
6.4	2490.1	40.1	6.6	4336.6	40.5	9.8	1392.9	40.2	9.3	1803.5	40.9	11.8	1585.8	41.4	10.9	818.5	40.8
6.4	2490.9	39.1	6.0	4365.7	41.1	9.9	1395.9	39.2	8.9	1799.9	38.9	11.3	1582.3	41.9	10.9	818.6	40.8
6.2	2519.3	40.2	5.9	4415.4	40.5	9.0	1404.2	40.3	8.6	1830.8	40.7	11.1	1593.1	41.8	10.8	825.9	40.6
6.1	2547.9	40.0	6.0	4409.0	40.8	8.2	1422.9	40.8	8.1	1856.1	40.9	10.8	1597.1	41.4	10.4	834.3	39.8
6.2	2564.9	40.3	5.9	4415.5	40.8	7.8	1427.6	40.7	7.7	1873.7	41.0	11.0	1606.4	41.7	10.3	839.7	40.4
7.2	2580.8	40.9	6.7	4410.6	41.1	9.0	1429.8	40.9	8.7	1881.6	41.5	12.4	1601.8	41.9	12.0	838.8	40.6
7.0	2568.4	40.6	6.7	4337.5	40.9	8.7	1437.2	40.7	8.5	1864.1	40.7	12.2	1577.1	41.2	11.4	834.0	39.4
6.3	2584.5	41.0	6.3	4350.6	41.8	8.4	1436.3	41.2	8.0	1877.9	41.0	11.7	1585.0	40.3	10.9	834.5	40.5
6.3	2607.0	41.0	6.5	4400.0	41.9	8.2	1435.5	41.2	7.8	1903.3	41.2	11.5	1596.8	42.0	10.8	853.1	40.8
6.0	2617.3	41.0	6.0	4441.5	41.6	8.1	1445.3	41.2	7.6	1901.1	41.0	11.3	1590.5	42.0	10.2	855.3	40.6
5.5	2627.5	41.1	5.7	4495.3	41.8	8.1	1448.5	41.3	7.8	1906.2	41.2	11.1	1588.0	42.5	10.2	857.1	40.8
